"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"FRA","France","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",21269,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2010","2010",1171,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2011","2011",1155,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2012","2012",1137,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2013","2013",1122,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2014","2014",1111,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2015","2015",1096,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2016","2016",1083,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2017","2017",1073,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2018","2018",1072,,
"FRA","France","UUUN","Unknown place of training (nurses)","TOT","Total","2019","2019",1066,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",447,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",574,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",803,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",566,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",542,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",619,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",571,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",470,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",433,,
"FRA","France","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",201,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2010","2010",305093,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2011","2011",312695,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2012","2012",318887,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2013","2013",326945,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2014","2014",334277,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2015","2015",339728,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2016","2016",346390,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2017","2017",352869,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2018","2018",359099,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2019","2019",366810,,
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",20029,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",22829,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",26034,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",28901,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",31857,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",34850,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",38247,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",41934,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",44931,"D","Difference in methodology"
"DEU","Germany","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",48125,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",1426,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",1900,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",2225,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",1964,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",1730,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",1530,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",1430,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",1287,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",1296,"D","Difference in methodology"
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",1349,"D","Difference in methodology"
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2012","2012",820000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2013","2013",850000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2014","2014",868000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2015","2015",876000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2016","2016",895000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2017","2017",916000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2018","2018",955000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2019","2019",980000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2012","2012",770000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",797000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",809000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",814000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",834000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",845000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",872000,,
"DEU","Germany","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",893000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2012","2012",50000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",54000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",59000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",63000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",61000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",70000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",83000,,
"DEU","Germany","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",87000,,
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",663,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",1875,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",2631,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",3342,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",3699,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",4698,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",5142,"D","Difference in methodology"
"DEU","Germany","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",7014,"D","Difference in methodology"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2010","2010",33770,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2011","2011",32966,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2012","2012",33454,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2013","2013",32668,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2014","2014",32791,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2015","2015",30486,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2016","2016",31515,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2017","2017",32543,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2018","2018",33078,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2019","2019",34137,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",31161,"B","Break"
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",30441,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",30970,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",30198,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",30309,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",28112,"B","Break"
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",29056,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",29929,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",30404,,
"HUN","Hungary","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",31336,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",2609,"B","Break"
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",2525,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",2484,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",2470,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",2482,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",2374,"B","Break"
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",2459,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",2614,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",2674,,
"HUN","Hungary","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",2801,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",35,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",51,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",78,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",54,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",82,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",133,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",109,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",111,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",137,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",123,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2013","2013",53323,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2014","2014",60216,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2015","2015",59273,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2016","2016",61167,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2017","2017",63739,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2018","2018",64695,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2019","2019",64722,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",52673,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",59413,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",58393,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",60260,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",62786,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",63700,,
"HUN","Hungary","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",63712,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",650,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",803,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",880,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",907,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",953,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",995,,
"HUN","Hungary","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",1010,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",48,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",49,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",72,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",71,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",88,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",107,,
"HUN","Hungary","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",53,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2011","2011",18812,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2012","2012",18184,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2013","2013",18160,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2014","2014",19066,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2015","2015",20454,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2016","2016",21920,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2017","2017",22693,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2018","2018",23012,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2019","2019",23574,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",12088,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",11859,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",11909,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",12182,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",12467,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",12797,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",13087,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",13429,,
"IRL","Ireland","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",13824,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",6708,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",5935,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",6214,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",6877,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",7983,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",9123,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",9606,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",9583,,
"IRL","Ireland","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",9750,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2011","2011",16,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",390,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",37,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2014","2014",7,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2015","2015",4,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2016","2016",0,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2017","2017",0,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2018","2018",0,,
"IRL","Ireland","UUUD","Unknown place of training (doctors)","TOT","Total","2019","2019",0,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",683,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",855,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",783,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",832,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",871,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",1777,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",1819,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",1685,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",1395,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",1422,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",211,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",222,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",304,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",390,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",443,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",796,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",1972,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",3279,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",2457,,
"IRL","Ireland","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",2301,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2010","2010",390664,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2011","2011",397859,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2012","2012",405624,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2013","2013",414448,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2014","2014",424813,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2015","2015",428401,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2016","2016",433283,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2017","2017",444968,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2018","2018",449781,,
"ITA","Italy","TNBN","Total number of nurses","TOT","Total","2019","2019",449571,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2010","2010",312841,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2011","2011",311428,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2012","2012",310016,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",309200,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",310888,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",318544,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",311528,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",269912,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",267201,,
"ITA","Italy","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",259051,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2010","2010",22774,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2011","2011",23621,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2012","2012",23915,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",24074,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",23953,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",24246,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",23308,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",22121,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",21561,,
"ITA","Italy","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",21432,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2010","2010",55049,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2011","2011",62810,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2012","2012",71693,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2013","2013",81174,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2014","2014",89972,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2015","2015",85611,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2016","2016",98447,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2017","2017",152935,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2018","2018",161019,,
"ITA","Italy","UUUN","Unknown place of training (nurses)","TOT","Total","2019","2019",169088,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",2105,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",1837,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",1303,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",955,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",887,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",617,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",729,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",328,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",304,,
"ITA","Italy","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",469,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2010","2010",49013,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2011","2011",51939,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2012","2012",54511,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2013","2013",55681,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2014","2014",57762,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2015","2015",59144,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2016","2016",60233,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2017","2017",61730,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2018","2018",63278,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2019","2019",65121,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",43839,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",46961,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",53377,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",54539,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",56533,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",57856,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",58897,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",60036,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",61247,,
"NLD","Netherlands","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",62788,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",1287,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",1352,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",1134,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",1142,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",1229,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",1288,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",1336,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",1694,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",2031,,
"NLD","Netherlands","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",2333,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2010","2010",3887,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2011","2011",3626,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2014","2014",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2015","2015",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2016","2016",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2017","2017",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2018","2018",0,,
"NLD","Netherlands","UUUD","Unknown place of training (doctors)","TOT","Total","2019","2019",0,,
"NLD","Netherlands","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",226,,
"NLD","Netherlands","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",158,,
